Station NAME,City,Address,Latitude,Longitude,Services,Operating Hours,Product98,Productgas,Producturea,Iselectric,Car_wash,Store
Abraham Matar,meitar,At the entrance to the rest,31.3261,34.92441,"Joe, Orea, Minta, Disabled,",24/6-24/6,False,False,True,False,False,True
Edigo/Krinis,hedera,Zalman Sza 1,32.435092,34.909645,"Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
Olga,Olga Hill,"Depth Station Givat Olga, the coastal road toward the south",32.43892,34.89077,"Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
Opt,Givat Shmuel,Ben Gurion 11,32.077251,34.84486,"Disabled,",No Joe Store,False,False,False,False,False,False
Horizons,Horizons,"Afikim Park, a",31.32344,34.62197,"Joe, App, Minta, Disabled,",24/5,False,False,False,False,False,True
Pine,Jerusalem,"General Pierre King, Talpiot 2",31.757745,35.214284,"App, disabled,",No Joe Store,False,False,False,False,False,False
Ayalon,Below,Kibbutz Ayalon,33.061492,35.213297,"Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
Eldor,Haifa,Defense Boulevard 33,32.829789,34.977051,"Joe, Orea, App, Minta, Disabled,",24/7,False,False,True,False,False,True
Oaks,Jezreel Valley,Oaks,32.70989,35.14349,"Joe, Orea, App, Minta, Disabled,",24/7,False,False,True,False,False,True
If the colonies,Petah Tikva,Tabor EAPurple 3,32.10848,34.8875,"Joe, Orea, App, Minta, Disabled,",06: 00-20: 00,False,False,True,False,False,True
emir,Bnei Brak,The Yarkon 10,32.09588,34.8252,"Joe, Orea, App, Minta, Disabled,",24/6-24/6,False,False,True,False,False,True
oiler,Netanya,Kidder Street (Ether,32.3231,34.87501,"Disabled,",No Joe Store,False,False,False,False,False,False
alfalfa,Beit Shean,Regional factories from Beit Shean Valley,32.494661,35.521336,"Joe, Orea, App, Minta, Disabled,",06: 00-20: 00,False,False,True,False,False,True
Evilin,Ahiblin,Chief Road inside the city of Iblin,32.82605,35.18527,"App, disabled,",No Joe Store,False,False,False,False,False,False
Afikim,Jordan Valley,At the entrance to Kibbutz Afikim,32.67865,35.57959,"Gas, Market, Joe, App, Minta, Disabled, Energy,",24/7,False,False,False,False,False,True
Eshel Abraham,Beer Sheva,Through Abraham Avinu Corner of Bubborn Alley 36,31.266208,34.793702,"Disabled,",No Joe Store,False,False,False,False,False,False
Ashkelon,Ashkelon,Latter,31.664377,34.591001,"Joe, Orea, App, Minta, Disabled,",24/7,False,False,True,False,False,True
Beer Tuvia,Beer Tuvia,A,31.72735,34.75033,"Joe, Orea, App, Minta, Disabled,",24/7,False,False,True,False,False,True
Beer Jacob,Beer Jacob,Way of life 1,31.93643,34.83141,"Market, Joe, App, Minta, Disabled,",24/7,False,False,False,False,False,True
Bull Ashdod,Ashdod,"PD.261, Holon Code 5810201 1",31.77558,34.66301,"Joe, App, Minta, Disabled,",24/6,False,False,False,False,False,True
Biscuit,Kfar Saba,TAKE,32.171512,34.924475,"Joe, App, Minta, Disabled,",06: 00-2: 00,False,False,False,False,False,True
