Station NAME,Services,Latitude,Longitude,Address,Product98,Productgas,Producturea,Iselectric,Car_wash,Store
Umm al -Fahm,Urea,32.558540801411,35.140286929295,Umm al -Fahm,False,False,True,False,False,False
Umm al -Fahm Center,,32.51115367,35.14992248,Ein Jarrarm Om El Fahm,False,False,False,False,False,False
Light Judah,"Fuel 98, gas",32.02173979,34.86487627,The 17th -light factory,True,False,False,False,False,False
Or Yehuda North,,32.03434753418,34.84884644,Factory 4 Light Yehuda,False,False,False,False,False,False
Lies,"Uriah, mini super oak, electric charging",31.31695123,34.5255356,"Route 471, Uri Tsalim Junction, 9km south of Ofakim",False,False,True,True,False,True
Ahitov Session,In the kibbutz and in the seat,32.387160893047,34.989569902196,Ahitov Session - Center,False,False,False,False,False,False
Ee,"Uriah, gas, mini oak, electric charging",29.57770729,34.96698761,Kibbutz Eilot after the checkpoint at the exit from Eilat 08-6318808,False,False,True,True,False,True
Beams,"Urea, mini super oak",32.71319008,35.54673958,"Road 92, Alumum Junction",False,False,True,False,False,True
Oak in the Sea of ​​Galilee,A super aloni mini,32.768253725415,35.549818700278,"Eliezer Kaplan 1307 Tiberias, Route 90 in front of my father -in -law",False,False,False,False,False,True
Alfie Menashe,,32.17388,35.01079,"Arbel Alfei Menashe St., Kalkiliya road",False,False,False,False,False,False
Elkana,"Urea, mini super oak",32.1119464,35.03545004,PD.199 DNEphraim Elkana,False,False,True,False,False,True
Ashdod ET northern,Urea,31.832029,34.680392,Science 4 ETAshdod North,False,False,True,False,False,False
Ashdod Ort,"Fuel 98, oak",31.81354188,34.64869022,ORT 18 Ashdod,True,False,False,False,False,False
Ashdod Opera House,,31.812813,34.654642,Road S near Pavilion wines.The orgas 25,False,False,False,False,False,False
Ashdod from Mr.,"A super aloni, car washing",31.77953,34.65942,Menachem Bedt for Southern Ashdod Exit (up to the Lum),False,False,False,False,True,True
Ashdod wool,,31.8100333214,34.6598482132,"Weizmann St. Ashdod, near Home Center",False,False,False,False,False,False
Ashdod Rum Sheffer,Fuel 98,31.81232,34.66684,"Work 43, Ashdod",True,False,False,False,False,False
Ashkelon Introduction,Urea,31.65904932,34.60073766,"At the entrance to Ashkelon, a demon.Ben Gurion",False,False,True,False,False,False
Ashkelon Amica,"Fuel 98, oak",31.67644592,34.5760768,"Ben Zvi Boulevard 16, Ashkelon (Afridr)",True,False,False,False,False,False
Ashkelon IDF,"Uriah, oak",31.6644496904,34.5910549164,29 Ashkelon St.,False,False,True,False,False,False
Beer Tuvia,Urea,31.73771,34.725511,A.Beer Tuvia,False,False,True,False,False,False
Beer Sheva Big,Oak,31.24583995,34.8135488,64 Be'er Sheva Engineering St.,False,False,False,False,False,False
Beer Sheva Old City,"Urea, gas, oak",31.23798828,34.79363683,Hebron Beer Sheva,False,False,True,False,False,False
Beer Sheva Train,"Urea, mini super oak",31.25722303,34.81390656,Joshua Jacket 4 Beer Sheva,False,False,True,False,False,True
Pagan house,"Fuel 98, urea, mini oak, car washing, electric charging",31.99003199,34.82951626,"Beit Dagon Junction, Route 44-PO. 34 Ben Gurion Airport",True,False,True,True,True,True
House of the method,"Uriah, gas, mini oak, electric charging",32.54428347,35.43389642,"Route 71, Kibbutz Beit Hatash",False,False,True,True,False,True
Kibbutz seed house,In the kibbutz and in the seat,32.69062831807,35.57524662949,Kibbutz Beit seed - north,False,False,False,False,False,False
Beit Yehoshua Moshav,In the kibbutz and in the seat,32.261734004959,34.870168608735,Beit Yehoshua Session - Center,False,False,False,False,False,False
Rainbow House,"Uriah, mini super oak, electric charging",32.7055,35.41037,Golani Junction south-Battle Ball,False,False,True,True,False,True
Beit Shemesh,"Uriah, oak",31.77079,34.99755,A.A good mountain Beit Shemesh,False,False,True,False,False,False
Bnei Barak Crimson,,32.0914,34.82435,Jabotinsky 5 Bnei Brak,False,False,False,False,False,False
Bnei Barak Stadium,"Fuel 98, urea, mini super oak, car washing",32.10027286,34.82851582,"Operation Kadesh 60 Bnei Brak, in front of Ayalon Mall",True,False,True,False,True,True
