name,Address,city,latitude,Longitude,working_hours,petrol98,Productgas,Producturea,electric_charge,car_wash,convenient_store
Abu Kabir,Herzl 188,Tel Aviv - Jaffa,32.0460474,34.7679201,24/7,False,False,False,False,True,True
Aviel (Superland),Maryland Blore near the Superland,Rishon Lezion,31.9806225,34.7423524,24/7,True,False,False,False,True,True
Red Eilat,Six Days in front of transport plants,Eilat,29.5710852,34.9631727,24/7,False,True,False,True,True,True
Ogola,Cadron 16 Afula Industrial Area,Afula,32.607365,35.2994485,Closed on Saturday,False,False,False,True,False,True
Horizons,Herzl Boulevard,Horizons,31.318965,34.620072,Closed on Saturday,False,False,False,False,False,False
Lights,Lights Mall-Blore President Corner Copelbitz,Light Akiva,32.5016899,34.9260347,Closed on Saturday,False,False,False,True,True,True
Orly,Eye Generation 16 ((Banks Street),Haifa,32.8202257,34.9945524,24/7,False,False,False,False,False,True
Orly Gahaha,Jonah Spindle 1 Road 4,Givat Shmuel,32.0814058,34.8455857,Closed on Saturday,True,False,False,False,False,True
Illegal,A village of Ixal,Nazareth,32.6759916,35.3166028,Unknown,False,False,False,False,False,True
Elon Bnei Brak,Hasmoneans 6,Bnei Brak,32.095286,34.8253,Closed on Saturday,False,False,False,False,False,True
Field champion,Champion-Ramat Gan 15,Ramat Gan,32.0592117,34.8153404,24/7,True,False,False,True,False,True
Elyashua,Route 40 in front,Hod Hasharon,32.15287,34.92181,24/7,True,False,False,True,False,True
Allenby,Through Hebron 99,Jerusalem,31.7550788,35.2216248,24/7,True,False,False,False,False,False
The new Afek,Regional Council space near Route 79,Afek,32.8266726,35.1327453,24/7,False,False,True,False,False,True
Afridr Ashkelon,Zionia Square 10,Ashkelon,31.6747857,34.5700457,24/7,False,False,False,False,False,True
Beer Sheva Stadium,Through Samson,Beer Sheva,31.2523107,34.7860451,24/7,False,False,False,False,False,True
Kfar Saba Stadium,32 Hapoel Corner 32,Kfar Saba,32.1784603,34.9282406,24/7,True,False,False,True,False,False
Petah Tikva Stadium,Gissin 37 Kiryat Aryeh,Petah Tikva,32.098127,34.8756774,24/7,True,False,False,False,False,False
Exodus,Exodus 6,Ashkelon,31.6745737,34.5863693,24/7,False,False,False,True,False,True
crimson,The Crimson Session in the Jordan Valley,crimson,32.1619408,35.5258447,Unknown,False,False,False,False,False,False
Ariel,Entrance to Moriah Street in front of the University,Ariel,32.1024,35.20663,Closed on Saturday,True,False,False,False,False,True
Ashdod City,Blind Books EL,Ashdod,31.8112906,34.6656861,24/7,False,False,False,True,True,True
cluster,Protective Protector-Junction Protective,Beer Sheva,31.2908455,34.4322837,24/7,False,False,True,True,False,True
Eshel Herzliya,Tel Aviv-Haifa Road from the boat interchange,Herzliya,32.1578923,34.8102571,24/7,True,False,False,True,False,True
Ashkelon waves,Ashkelon-Shochlon-Ashkelon-Gaza,Ashkelon,31.6587853,34.6005614,24/7,False,True,False,True,False,True
Ashkelon David,Ashkelon Junction,Ashkelon,31.6598074,34.6017303,24/7,False,False,False,True,False,False
Ashkelon south,Lev 28 Blvd,Ashkelon,31.63101,34.55904,24/7,True,False,True,False,True,True
Baka,Baka interchange - Road 6,Baka al-Grubia,32.4132929,35.029981,24/7,False,False,False,False,False,True
Beer Sheva Center,Through Hebron 1,Beer Sheva,31.237341,34.793725,24/7,False,False,False,False,False,True
Beer Sheva North,Jerusalem Boulevard in front of Be'er Sheva House,Beer Sheva,31.2452645,34.7816333,24/7,True,False,False,False,False,False
Grape Bat Hefer,Route 5714 examined,Dug dug,32.35054,35.01395,24/7,False,False,True,True,False,False
Bir al Amir,Al-Faunth Corner 1006 Street,"Bir al -Amir neighborhood, Nazareth",32.684246,35.285759,24/7,True,False,True,False,False,False
Bir to a trap,Next to Shfaram,Bir al-Masu,32.77493,35.21411,Unknown,True,False,True,False,True,True
House to,House to,House to,31.934297,35.221229,Closed on Saturday,False,False,False,False,False,False
Beit Hakerem,Road 85 Acre Safed,Majd al -Chrome,32.9165858,35.2501053,24/7,False,True,True,False,False,True
Hannah House,Jerusalem Road Ramallah,Jerusalem,31.8280221,35.2281256,Unknown,False,False,False,False,False,False
Beit Yitzhak,Route 57 Hasharon Junction at the entrance to Nordia,Beit Yitzhak-Sha'ar dug,32.323356,34.898272,24/7,True,False,False,True,False,False
Moore House,Route 40 between Bilwo Junction and Ramla,Ramla,31.9192679,34.8698848,24/7,False,False,False,False,False,True
House of Kama,Beit Kama junction,House of Kama,31.442075,34.764195,24/7,False,True,True,True,False,True
Beit Shean,King Saul 304,Beit Shean,32.5002277,35.4956246,Closed on Saturday,False,False,False,False,False,True
Beit Shemesh,A road at the entrance to Beit Shemesh,Beit Shemesh,31.7558283,34.984434,Closed on Saturday,True,False,True,True,False,True
Beit Shemesh node,AT northern,Beit Shemesh,31.754201,34.993301,Closed on Saturday,False,False,False,False,False,True
Binyamina Bernicki,Road 4 Binyamina Junction,Binyamina,32.5170073,34.9295469,24/7,False,False,True,True,True,True
In my eyes,Safed Acre Road,Tenant al-Assad,32.9250541,35.2764522,Unknown,False,False,False,False,False,False
valley,Through Bethlehem 11,Jerusalem,31.7624482,35.2232589,24/7,False,False,False,False,True,True
Torne Valley,Torne Valley,Torne,32.7696256,35.3715174,Unknown,False,False,False,False,False,False
Clear,Road 40 - Road 4 Ram Junction - Kiryat Malachi,Kiryat Malachi,31.7548336,34.778953,24/7,False,False,False,True,False,True
Bar-Kochba,Ben-Zvi Demon,Jerusalem,31.783729,35.2087493,Closed on Saturday,True,False,False,False,True,True
Bat-waves,Jaffa 180 Haifa Road Tel Aviv,Haifa,32.8302571,34.9782369,24/7,False,False,True,False,False,True
Saul Hill,Printing Hill Givat Saul,Jerusalem,31.7860438,35.1912237,Unknown,True,False,True,False,True,False
Gabriel Herzl,Herzl St.,Ashdod,31.8145504,34.6553314,24/7,False,False,False,True,False,True
Jadida,At the entrance to the village of Sahak-Jedida,Jadid-Sales,32.9253566,35.1324221,24/7,True,False,False,False,False,True
A block of milk,At the entrance to a lump of milk from Safed,Jash (Milk block),33.017524,35.446011,24/7,False,False,True,False,False,True
Guy-Iron,Megiddo Road Hadera Nahal Iron,A rift village,32.4982326,35.063878,24/7,True,False,True,True,False,True
Revealed,Unterman neighborhood of Gilo,Jerusalem,31.7308645,35.1953432,24/7,False,False,False,False,False,True
My age,Blore-Nail-Tamar Shore,Rishon Lezion,31.9458555,34.8177835,24/7,True,False,False,True,False,True
Volcano,Jabotinsky 63,Petah Tikva,32.0918795,34.8596152,Unknown,True,False,True,False,False,False
Grozenberg,Grozenberg 16,Tel Aviv - Jaffa,32.065968,34.7700469,Unknown,False,False,False,False,False,False
Granot Galilee,Road No. 899 at 14,Granot Galilee,33.0622328,35.248367,Unknown,False,False,False,False,False,True
The Aryan Bridge,Rice street corner of the Harry Bridge,Netanya,32.3116523,34.8704864,24/7,False,False,False,False,False,False
David Bat Yam,Raziel Level President 5,Bat Yam,32.0145439,34.755817,24/7,False,False,False,False,False,True
Uncle Arad,Samir St. 3 ET at the entrance to the city,Arad,31.248493,35.198193,24/7,False,False,False,True,False,True
Dimona,Road in Sodom AT Dimona,Dimona,31.0616521,35.0189845,24/7,False,True,True,True,False,True
Through the tunnels,Road 60 at the southern exit from Jerusalem,Jerusalem,31.72688,35.19473,Closed on Saturday,True,False,True,False,False,True
Ashdod perfume,3st perfume,Ashdod,31.8194953,34.6621475,Closed on Saturday,False,False,False,False,False,True
The grain,Stadium 13 near Home Center,Kiryat Haim Mail cells,32.8220558,35.0570346,24/7,False,False,False,True,True,True
Hadas,Northern Login to Ibn Yehuda from Junction Kadimi Hadassim near the Hadassim boarding school,A Judah stone,32.2844139,34.8929533,24/7,False,False,False,False,False,False
Hadar Carmel,The striker 25,Haifa,32.8118743,34.9985242,24/7,False,False,False,False,False,True
Hod Hasharon,Through Ramatim 98,Hod Hasharon,32.1541417,34.8941496,24/7,False,False,False,False,False,False
